turbidez,B01,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
2.0,0.0302636386757646,0.0356937512341472,0.0527605490276106,0.0386187790858524,0.0289293221301502,0.0178782609463841,0.0182466284130458,0.0148110031991058,0.0088304039780739,0.0061622379278695,0.0156771340234963
3.0,0.0187440237237347,0.0274500172171327,0.0449796525968445,0.0280400862296422,0.018780584136645,0.0076927910558879,0.0075710537946886,0.0076232368850873,0.0017728234589513,0.0001120222861775,0.0033048926723293
4.0,0.0291406510190831,0.0364585245649019,0.0546311725758843,0.0397925334982573,0.0297667229444616,0.0223951584193855,0.0229662239499803,0.0190972036669133,0.0094302883460638,0.0079757197777831,0.0202900410578068
4.5,0.0223059463832113,0.0279343117856317,0.0454715858731004,0.0287274724493424,0.0208346814745002,0.0144624373772078,0.0174789316952228,0.013987723737955,8.812264746261967e-05,0.0003605653182603,0.0132316535131798
5.0,0.0299017783254385,0.0300434428370661,0.0472353717519177,0.0331107152418957,0.0240603143142329,0.0111164838696519,0.0125190939547287,0.0070060728014343,0.0019819754072361,0.0001812434913719,0.0090744410538011
5.5,0.0197043489250871,0.0278531664775477,0.048053804371092,0.0314581327968173,0.0217007853918605,0.008997235343688,0.0086137839179072,0.0077872294932603,0.0013294690886848,0.0,0.0058589732895294
6.0,0.0269951420249761,0.0272575432641637,0.0447392885883648,0.030865115010076,0.0224151510607312,0.0125115227161181,0.0148886843687958,0.0126569003763573,0.0014931414280672,0.0006763636009526,0.0091428570018183
11.0,0.0322138621575302,0.0335563224636846,0.0521560356848769,0.0390580784943368,0.0275209606107738,0.0139515063621931,0.0129390339263611,0.0083490836744507,0.0010993901095288,0.0,0.0094353525071508
11.38,0.0227261349144909,0.0340922450025876,0.0600451963643232,0.0433274495104948,0.0289208884868356,0.010334575548768,0.0109393041994836,0.0093327471986413,0.0020077983305479,0.0,0.0062624344912668
11.5,0.0204569550438059,0.0324337020930316,0.0559804696175787,0.0554040140575832,0.0435436583227581,0.0164600762849052,0.0182161854787005,0.0148118087607953,7.820856343540881e-05,0.0006476933970892,0.0087146403061019
11.53,0.0201531487206618,0.0321125214298566,0.0569995310571458,0.041241280734539,0.0269023449056678,0.0086406858948369,0.0100264138438635,0.0080254462340639,0.0009308652952313,0.0001621249636324,0.0058707503808869
12.17,0.0224341632177432,0.0331113201876481,0.0602926255928145,0.0425726075967152,0.028292100255688,0.0088886614474985,0.0094885901651448,0.0065799046618243,0.001286383116773,0.0,0.0048266192898154
